	AM01 F05-927	2011-12-30 14:22	10	1
	Al2O3	mass%	113	19.284
	SiO2	mass%	114	62.010
	P2O5	mass%	115	0.4000
	Cl	mass%	17	0.0663
	K2O	mass%	119	5.1607
	CaO	mass%	120	2.6701
	TiO2	mass%	122	1.6404
	MnO	mass%	125	0.1527
	Fe2O3	mass%	126	8.5976
	SrO	mass%	138	0.0174
	AM02 F03-928	2011-12-30 14:53	15	1
	MgO	mass%	112	1.7823
	Al2O3	mass%	113	19.291
	SiO2	mass%	114	54.716
	P2O5	mass%	115	0.3674
	Cl	mass%	17	0.0241
	K2O	mass%	119	5.1527
	CaO	mass%	120	2.2441
	TiO2	mass%	122	1.9012
	MnO	mass%	125	0.2006
	Fe2O3	mass%	126	13.888
	NiO	mass%	128	0.0309
	ZnO	mass%	130	0.0336
	Rb2O	mass%	137	0.0322
	SrO	mass%	138	0.0570
	Rh2O3	mass%	145	0.2793
	AM04 F05-927	2011-12-30 15:24	10	1
	Al2O3	mass%	113	16.399
	SiO2	mass%	114	62.244
	P2O5	mass%	115	0.3094
	K2O	mass%	119	5.4028
	CaO	mass%	120	2.1079
	TiO2	mass%	122	1.7006
	MnO	mass%	125	0.1841
	Fe2O3	mass%	126	11.415
	SrO	mass%	138	0.0655
	ZrO2	mass%	140	0.1723
	AM02 F04-927	2011-12-30 15:55	11	1
	Al2O3	mass%	113	15.535
	SiO2	mass%	114	63.507
	P2O5	mass%	115	0.4107
	K2O	mass%	119	5.9618
	CaO	mass%	120	3.1695
	TiO2	mass%	122	1.6993
	MnO	mass%	125	0.2251
	Fe2O3	mass%	126	9.4032
	ZnO	mass%	130	0.0416
	Rb2O	mass%	137	0.0199
	SrO	mass%	138	0.0269
	AM01 F04-927	2011-12-30 16:26	8	1
	MgO	mass%	112	1.7420
	Al2O3	mass%	113	14.864
	SiO2	mass%	114	67.116
	K2O	mass%	119	5.9324
	CaO	mass%	120	3.6765
	TiO2	mass%	122	1.4145
	Fe2O3	mass%	126	5.2425
	SrO	mass%	138	0.0124
	AM01 F03-928	2011-12-30 16:57	10	1
	Al2O3	mass%	113	14.401
	SiO2	mass%	114	65.494
	K2O	mass%	119	6.0192
	CaO	mass%	120	3.5692
	TiO2	mass%	122	1.3576
	MnO	mass%	125	0.1722
	Fe2O3	mass%	126	8.7270
	Rb2O	mass%	137	0.0330
	SrO	mass%	138	0.0662
	ZrO2	mass%	140	0.1603
	AM03 F04-927	2011-12-30 17:28	13	1
	MgO	mass%	112	1.6130
	Al2O3	mass%	113	18.620
	SiO2	mass%	114	58.232
	P2O5	mass%	115	0.3546
	K2O	mass%	119	4.6310
	CaO	mass%	120	2.6563
	TiO2	mass%	122	1.7461
	MnO	mass%	125	0.2476
	Fe2O3	mass%	126	11.565
	SrO	mass%	138	0.0502
	ZrO2	mass%	140	0.1306
	Ag2O	mass%	147	0.0487
	CdO	mass%	148	0.1053
	AM01 F09-941	2011-12-20 13:56	8	1
	Al2O3	mass%	113	13.050
	SiO2	mass%	114	52.883
	P2O5	mass%	115	0.2729
	K2O	mass%	119	7.4175
	CaO	mass%	120	3.7019
	TiO2	mass%	122	2.6030
	MnO	mass%	125	0.2323
	Fe2O3	mass%	126	19.839
	AM02 F01-942	2011-12-20 14:25	9	1
	MgO	mass%	112	0.8626
	Al2O3	mass%	113	14.596
	SiO2	mass%	114	52.729
	K2O	mass%	119	8.0823
	CaO	mass%	120	5.4119
	TiO2	mass%	122	2.8588
	MnO	mass%	125	0.2480
	Fe2O3	mass%	126	15.174
	SrO	mass%	138	0.0369
	AM01 F04-942	2011-12-20 14:54	16	1
	Al2O3	mass%	113	13.066
	SiO2	mass%	114	48.063
	P2O5	mass%	115	0.2646
	Cl	mass%	17	0.0451
	K2O	mass%	119	7.2705
	CaO	mass%	120	3.4105
	TiO2	mass%	122	3.2433
	MnO	mass%	125	0.2989
	Fe2O3	mass%	126	23.655
	NiO	mass%	128	0.0695
	Rb2O	mass%	137	0.0754
	ZrO2	mass%	140	0.0811
	Nb2O5	mass%	141	0.0484
	Tc	mass%	43	0.0146
	Ag2O	mass%	147	0.2484
	CdO	mass%	148	0.1463
	AM 03 F03-941	2011-12-21 09:43	12	1
	Al2O3	mass%	113	18.941
	SiO2	mass%	114	59.651
	Cl	mass%	17	0.0712
	K2O	mass%	119	4.5863
	CaO	mass%	120	2.5326
	TiO2	mass%	122	1.6985
	MnO	mass%	125	0.1766
	Fe2O3	mass%	126	11.978
	Rb2O	mass%	137	0.0263
	SrO	mass%	138	0.0330
	Rh2O3	mass%	145	0.2240
	Ag2O	mass%	147	0.0818
	AM 03 F02-941	2011-12-21 10:13	14	1
	MgO	mass%	112	1.9643
	Al2O3	mass%	113	17.195
	SiO2	mass%	114	59.034
	P2O5	mass%	115	0.3270
	Cl	mass%	17	0.0658
	K2O	mass%	119	4.6014
	CaO	mass%	120	1.8781
	TiO2	mass%	122	1.7674
	MnO	mass%	125	0.1849
	Fe2O3	mass%	126	12.694
	ZnO	mass%	130	0.0284
	Rb2O	mass%	137	0.0194
	SrO	mass%	138	0.0397
	Rh2O3	mass%	145	0.2011
	AM 01 F07-941	2011-12-21 10:44	12	1
	MgO	mass%	112	1.9895
	Al2O3	mass%	113	18.197
	SiO2	mass%	114	56.832
	P2O5	mass%	115	0.3265
	Cl	mass%	17	0.1404
	K2O	mass%	119	5.1452
	CaO	mass%	120	1.8405
	TiO2	mass%	122	1.7235
	MnO	mass%	125	0.1467
	Fe2O3	mass%	126	13.586
	Rb2O	mass%	137	0.0398
